item,valence,arousal,img,aoa,length,SUBTLWF,LgSUBTLWF,OLD,PLD,e2hit,e2fa,e2hminfa,e1hit,e1fa,e1hminfa,valstrength,e1e2hits,e1e2fas,e1e2hminfas,valxarousal
cottage,6.63,2.95,6.1,4.70,7,5.29,2.43,2.25,2.15,.77,.13,.63,.73,.23,.50,1.63,.75,.18,.57,4.81
cotton,6.05,2.48,6.6,3.85,6,14.18,2.86,2.00,1.80,.73,.13,.60,.57,.27,.30,1.05,.65,.20,.45,2.60
cougar,5.67,5.70,6.7,3.88,6,2.00,2.01,2.65,1.90,.80,.07,.73,.87,.17,.70,.67,.83,.12,.72,3.82
council,5.00,3.86,5.2,5.18,7,16.92,2.94,2.85,2.20,.87,.33,.53,.60,.27,.33,.00,.73,.30,.43,.00
counsel,5.48,2.86,4.6,5.27,7,14.24,2.86,2.60,2.20,.70,.37,.33,.63,.30,.33,.48,.67,.33,.33,1.37
countess,5.85,3.55,4.5,5.58,8,6.16,2.50,2.35,1.90,.77,.03,.73,.60,.10,.50,.85,.68,.07,.62,3.02
country,6.14,3.71,6.4,3.88,7,161.84,3.92,2.30,2.30,.73,.17,.57,.63,.27,.37,1.14,.68,.22,.47,4.23
county,5.18,3.40,4.8,4.39,6,33.76,3.24,1.95,1.80,.80,.13,.67,.60,.03,.57,.18,.70,.08,.62,.61
couple,7.11,4.95,5.8,3.94,6,223.41,4.06,1.75,1.80,.77,.30,.47,.67,.13,.53,2.11,.72,.22,.50,10.44
coupon,6.30,4.22,6.4,4.30,6,2.18,2.05,2.30,2.40,.90,.07,.83,.60,.13,.47,1.30,.75,.10,.65,5.49
courage,7.67,5.00,4.2,4.52,7,23.67,3.08,2.30,2.85,.97,.47,.50,.73,.40,.33,2.67,.85,.43,.42,13.35
cousin,6.11,2.60,6.1,3.58,6,48.84,3.40,2.30,1.85,.80,.03,.77,.67,.20,.47,1.11,.73,.12,.62,2.89
coven,5.43,4.80,2.7,5.88,5,.59,1.49,1.70,1.90,.87,.30,.57,.77,.17,.60,.43,.82,.23,.58,2.06
cover,5.59,3.76,5.4,4.09,5,94.27,3.68,1.25,1.65,.63,.20,.43,.62,.21,.41,.59,.63,.20,.42,2.22
covert,3.79,4.32,3.0,5.27,6,2.90,2.17,1.75,2.20,.83,.40,.43,.87,.47,.40,1.21,.85,.43,.42,5.23
covet,4.48,4.04,3.0,5.88,5,.94,1.69,1.70,1.95,.80,.33,.47,.77,.23,.53,.52,.78,.28,.50,2.10
coward,2.42,4.09,4.7,4.76,6,14.39,2.87,1.90,1.95,.83,.20,.63,.57,.13,.43,2.58,.70,.17,.53,10.55
cozy,7.28,3.56,5.1,4.03,4,5.65,2.46,1.80,1.75,.67,.37,.30,.70,.33,.37,2.28,.68,.35,.33,8.12
crackle,5.53,5.27,5.0,4.30,7,.69,1.56,1.85,1.85,.73,.20,.53,.63,.23,.40,.53,.68,.22,.47,2.79
cradle,6.10,3.67,6.2,4.06,6,2.84,2.16,1.90,1.85,.87,.23,.63,.63,.20,.43,1.10,.75,.22,.53,4.04
crater,5.15,4.84,6.3,5.09,6,2.59,2.12,1.70,1.40,.77,.10,.67,.80,.13,.67,.15,.78,.12,.67,.73
crazy,5.14,5.90,5.1,3.64,5,272.27,4.14,1.95,1.90,.73,.17,.57,.63,.10,.53,.14,.68,.13,.55,.83
create,7.86,6.26,3.8,4.06,6,25.27,3.11,1.75,1.75,.53,.13,.40,.63,.23,.40,2.86,.58,.18,.40,17.90
creature,6.06,4.77,5.9,4.03,8,21.41,3.04,2.45,1.95,.67,.13,.53,.63,.23,.40,1.06,.65,.18,.47,5.06
credit,5.00,4.38,4.3,5.21,6,45.82,3.37,2.40,2.20,.70,.20,.50,.67,.27,.40,.00,.68,.23,.45,.00
credo,,,1.8,6.18,5,.67,1.54,1.95,2.00,.60,.07,.53,.55,.10,.45,,.58,.09,.49,
crescent,5.90,3.32,5.4,5.36,8,1.41,1.86,2.75,2.70,.73,.17,.57,.70,.20,.50,.90,.72,.18,.53,2.99
cretin,4.47,3.71,3.0,6.15,6,1.00,1.72,2.55,2.00,.77,.07,.70,.67,.17,.50,.53,.72,.12,.60,1.97
cricket,5.71,3.22,6.3,3.42,7,2.82,2.16,1.95,1.95,.87,.07,.80,.67,.37,.30,.71,.77,.22,.55,2.29
crimson,5.67,4.52,5.4,5.91,7,1.31,1.83,2.95,2.75,.87,.07,.80,.80,.07,.73,.67,.83,.07,.77,3.03
cripple,2.47,4.05,6.3,4.85,7,3.80,2.29,2.40,1.85,.77,.17,.60,.70,.20,.50,2.53,.73,.18,.55,10.25
crisis,2.05,6.29,4.2,5.09,6,16.65,2.93,2.00,2.60,.73,.20,.53,.53,.23,.30,2.95,.63,.22,.42,18.56
critic,4.10,4.25,4.4,5.64,6,3.76,2.29,2.40,1.95,.73,.23,.50,.77,.20,.57,.90,.75,.22,.53,3.83
critter,5.40,4.05,6.2,3.82,7,1.27,1.82,1.90,1.80,.67,.07,.60,.63,.17,.47,.40,.65,.12,.53,1.62
crooked,3.17,4.18,4.9,4.79,7,5.69,2.46,1.75,2.65,.60,.03,.57,.53,.13,.40,1.83,.57,.08,.48,7.65
croquet,5.63,3.50,5.3,5.70,7,.86,1.65,2.90,1.80,.73,.07,.67,.80,.30,.50,.63,.77,.18,.58,2.21
crucial,5.16,4.14,2.7,5.30,7,4.59,2.37,2.80,2.40,.73,.23,.50,.57,.23,.33,.16,.65,.23,.42,.66
crumble,4.25,4.00,5.4,4.06,7,1.39,1.86,1.75,1.75,.70,.23,.47,.57,.20,.37,.75,.63,.22,.42,3.00
crusade,4.24,6.20,4.9,5.64,7,3.80,2.29,2.70,2.80,.93,.20,.73,.70,.20,.50,.76,.82,.20,.62,4.71
cryptic,3.86,5.53,2.8,5.97,7,1.04,1.73,2.90,2.80,.73,.20,.53,.80,.17,.63,1.14,.77,.18,.58,6.30
crystal,6.75,4.10,6.6,4.52,7,16.14,2.92,2.85,2.25,.60,.13,.47,.80,.07,.73,1.75,.70,.10,.60,7.18
cubic,4.70,3.00,4.8,5.30,5,.86,1.65,1.95,2.25,.77,.10,.67,.73,.07,.67,.30,.75,.08,.67,.90
cuckoo,4.79,4.57,4.8,4.79,6,2.96,2.18,2.95,2.00,.80,.00,.80,.93,.13,.80,.21,.87,.07,.80,.96
cuddle,7.60,3.83,6.3,3.73,6,2.16,2.05,1.75,1.45,.90,.33,.57,.80,.17,.63,2.60,.85,.25,.60,9.96
cuisine,6.88,4.51,5.3,5.36,7,1.94,2.00,2.75,2.60,.70,.03,.67,.90,.17,.73,1.88,.80,.10,.70,8.48
culprit,2.90,5.54,4.5,5.73,7,1.08,1.75,3.00,2.85,.83,.13,.70,.60,.27,.33,2.10,.72,.20,.52,11.63
culture,6.28,4.06,4.6,5.09,7,13.94,2.85,2.30,2.25,.83,.33,.50,.63,.23,.40,1.28,.73,.28,.45,5.20
cunning,5.05,4.90,3.9,5.79,7,4.06,2.32,1.75,1.50,.63,.10,.53,.73,.17,.57,.05,.68,.13,.55,.24
curfew,4.14,4.00,3.7,4.94,6,4.59,2.37,2.30,3.90,.70,.17,.53,.67,.10,.57,.86,.68,.13,.55,3.44
current,5.53,3.25,3.7,4.61,7,17.04,2.94,2.40,2.60,.67,.40,.27,.67,.33,.33,.53,.67,.37,.30,1.72
curry,5.40,3.17,4.0,5.55,5,2.43,2.10,1.75,1.75,.80,.27,.53,.90,.20,.70,.40,.85,.23,.62,1.27
curtain,5.36,3.62,6.6,3.94,7,10.29,2.72,2.45,1.85,.80,.30,.50,.70,.27,.43,.36,.75,.28,.47,1.30
curtsy,6.35,4.60,5.5,5.03,6,.57,1.48,2.20,2.30,.87,.20,.67,.67,.20,.47,1.35,.77,.20,.57,6.21
cushion,5.90,2.76,6.1,4.30,7,2.16,2.05,2.75,1.90,.70,.13,.57,.60,.33,.27,.90,.65,.23,.42,2.48
custard,5.45,3.50,5.5,4.67,7,1.25,1.81,2.70,1.75,.83,.17,.67,.77,.07,.70,.45,.80,.12,.68,1.58
custom,5.29,4.00,3.1,5.06,6,6.20,2.50,2.60,1.85,.83,.27,.57,.73,.20,.53,.29,.78,.23,.55,1.16
cycle,5.64,4.42,6.0,4.15,5,5.88,2.48,2.05,1.75,.63,.17,.47,.67,.20,.47,.64,.65,.18,.47,2.83
cynic,3.45,4.68,2.7,5.88,5,1.10,1.76,1.90,1.70,.77,.10,.67,.73,.17,.57,1.55,.75,.13,.62,7.25
dabble,5.48,3.05,2.8,5.30,6,.57,1.48,1.70,1.60,.73,.43,.30,.67,.33,.33,.48,.70,.38,.32,1.46
daddy,7.27,4.24,6.6,2.09,5,185.08,3.98,1.85,1.20,.77,.07,.70,.80,.10,.70,2.27,.78,.08,.70,9.62
dagger,4.38,5.79,6.6,5.15,6,4.92,2.40,1.90,1.90,.80,.20,.60,.83,.27,.57,.62,.82,.23,.58,3.59
dainty,6.42,2.70,3.8,5.36,6,1.20,1.79,2.00,1.95,.73,.07,.67,.77,.10,.67,1.42,.75,.08,.67,3.83
dairy,6.09,3.90,6.4,3.97,5,2.78,2.16,1.75,1.00,.70,.10,.60,.67,.13,.53,1.09,.68,.12,.57,4.25
daisy,7.48,3.95,6.8,3.76,5,13.51,2.84,1.90,1.60,.67,.07,.60,.73,.33,.40,2.48,.70,.20,.50,9.80
damage,2.98,4.86,5.0,4.42,6,33.06,3.23,2.15,2.20,.87,.33,.53,.67,.40,.27,2.02,.77,.37,.40,9.82
damsel,5.74,4.44,4.9,5.33,6,.88,1.66,2.30,1.95,.67,.23,.43,.80,.13,.67,.74,.73,.18,.55,3.29
dandruff,3.05,4.41,6.3,5.09,8,.80,1.62,3.85,3.75,.83,.03,.80,.80,.03,.77,1.95,.82,.03,.78,8.60
dandy,6.55,4.00,3.1,4.33,5,4.39,2.35,1.65,1.35,.73,.10,.63,.70,.17,.53,1.55,.72,.13,.58,6.20
danger,2.66,5.84,4.8,3.67,6,43.67,3.35,1.65,2.10,.77,.20,.57,.60,.27,.33,2.34,.68,.23,.45,13.67
dangle,4.76,4.25,5.4,4.73,6,1.33,1.84,1.65,1.60,.77,.23,.53,.83,.23,.60,.24,.80,.23,.57,1.02
dapper,,,2.7,5.88,6,.55,1.46,1.90,1.70,.93,.13,.80,.77,.20,.57,,.85,.17,.68,
darling,7.32,3.95,4.6,4.18,7,129.67,3.82,1.85,1.90,.73,.13,.60,.70,.03,.67,2.32,.72,.08,.63,9.16
data,,,5.0,5.15,4,25.61,3.12,1.90,1.75,.77,.00,.77,.57,.13,.43,,.67,.07,.60,
daughter,6.73,5.00,6.8,3.36,8,171.35,3.94,2.70,1.80,.77,.07,.70,.67,.17,.50,1.73,.72,.12,.60,8.65
dawdle,4.77,3.29,2.8,5.70,6,.59,1.49,2.35,1.90,.60,.00,.60,.63,.17,.47,.23,.62,.08,.53,.76
dazzle,6.46,4.96,4.5,4.70,6,1.00,1.72,1.95,1.65,.70,.27,.43,.73,.17,.57,1.46,.72,.22,.50,7.24
deacon,5.09,3.87,5.0,5.70,6,2.86,2.17,2.20,1.75,.83,.17,.67,.87,.13,.73,.09,.85,.15,.70,.35
deadline,3.19,5.74,3.4,5.03,8,5.86,2.48,2.55,2.35,.67,.07,.60,.47,.17,.30,1.81,.57,.12,.45,10.39
dealer,4.18,5.42,5.5,5.12,6,16.29,2.92,1.80,1.60,.60,.13,.47,.50,.07,.43,.82,.55,.10,.45,4.44
debate,4.95,4.86,4.3,5.21,6,9.29,2.68,1.80,1.90,.70,.30,.40,.73,.27,.47,.05,.72,.28,.43,.24
debris,4.20,4.23,5.4,5.70,6,3.12,2.20,2.50,2.10,.83,.13,.70,.77,.10,.67,.80,.80,.12,.68,3.38
debut,5.81,3.41,3.1,5.36,5,2.59,2.12,1.85,2.80,.87,.30,.57,.77,.17,.60,.81,.82,.23,.58,2.76
decade,4.75,3.61,3.7,5.09,6,4.84,2.39,1.85,2.15,.63,.27,.37,.70,.40,.30,.25,.67,.33,.33,.90
decaf,3.62,3.00,5.2,5.27,,,,,,.83,.03,.80,.70,.03,.67,1.38,.77,.03,.73,4.14
decay,2.40,4.59,5.4,5.18,5,2.06,2.03,1.80,1.85,.87,.17,.70,.87,.43,.43,2.60,.87,.30,.57,11.93
deceit,2.89,5.62,2.6,5.55,6,1.86,1.98,2.15,1.70,.70,.10,.60,.60,.13,.47,2.11,.65,.12,.53,11.86
deceive,2.95,5.90,3.3,5.45,7,3.41,2.24,2.05,1.80,.60,.43,.17,.80,.43,.37,2.05,.70,.43,.27,12.10
decent,6.27,4.15,2.8,5.30,6,28.10,3.16,1.75,2.65,.77,.53,.23,.83,.67,.17,1.27,.80,.60,.20,5.27
decide,6.28,3.10,2.3,4.15,6,50.41,3.41,1.75,1.70,.80,.40,.40,.47,.43,.03,1.28,.63,.42,.22,3.97
declare,5.42,4.40,3.3,5.21,7,7.57,2.59,2.40,2.45,.50,.20,.30,.53,.27,.27,.42,.52,.23,.28,1.85
decline,3.19,3.60,3.8,5.03,7,2.98,2.18,1.95,2.20,.67,.20,.47,.53,.23,.30,1.81,.60,.22,.38,6.52
decor,5.95,3.38,4.8,5.52,5,1.02,1.72,1.95,2.55,.90,.17,.73,.77,.37,.40,.95,.83,.27,.57,3.21
decoy,4.61,3.91,4.8,5.39,5,3.57,2.26,1.85,2.80,.80,.20,.60,.83,.33,.50,.39,.82,.27,.55,1.52
decrease,4.16,3.05,3.9,4.64,8,1.18,1.79,2.40,2.65,.67,.13,.53,.57,.20,.37,.84,.62,.17,.45,2.56
decree,5.33,3.90,3.4,5.88,6,1.92,2.00,2.05,1.70,.80,.20,.60,.70,.10,.60,.33,.75,.15,.60,1.29
deduce,5.29,3.04,2.2,5.79,6,.57,1.48,1.75,1.95,.80,.27,.53,.73,.17,.57,.29,.77,.22,.55,.88
deduct,4.24,4.11,2.7,5.58,6,1.08,1.75,2.20,2.35,.77,.30,.47,.67,.13,.53,.76,.72,.22,.50,3.12
default,4.16,4.57,3.3,5.24,7,1.00,1.72,2.85,2.60,.77,.30,.47,.67,.47,.20,.84,.72,.38,.33,3.84
defeat,3.74,4.14,3.8,4.64,6,11.37,2.76,1.90,1.85,.63,.37,.27,.57,.27,.30,1.26,.60,.32,.28,5.22
defect,2.89,4.14,3.2,5.12,6,2.47,2.10,1.75,2.55,.77,.43,.33,.80,.27,.53,2.11,.78,.35,.43,8.74
defence,,,3.5,5.03,7,8.02,2.61,2.15,1.95,.70,.33,.37,.70,.17,.53,,.70,.25,.45,
defend,6.30,4.55,3.5,4.97,6,18.80,2.98,1.90,1.75,.77,.57,.20,.50,.33,.17,1.30,.63,.45,.18,5.92
defense,5.36,5.11,3.8,4.61,7,32.65,3.22,2.25,1.95,.83,.60,.23,.73,.37,.37,.36,.78,.48,.30,1.84
defer,4.50,2.70,2.3,5.61,5,.59,1.49,1.85,1.85,.77,.33,.43,.63,.30,.33,.50,.70,.32,.38,1.35
define,5.57,3.95,3.0,4.70,6,6.24,2.50,1.80,1.60,.77,.30,.47,.67,.33,.33,.57,.72,.32,.40,2.25
deflect,5.10,3.68,4.0,5.58,7,.53,1.45,2.20,2.35,.57,.17,.40,.67,.10,.57,.10,.62,.13,.48,.37
defuse,5.78,4.68,3.1,5.79,6,.75,1.59,1.95,2.10,.63,.30,.33,.60,.30,.30,.78,.62,.30,.32,3.65
defy,4.84,5.43,3.3,5.61,4,3.10,2.20,1.80,1.80,.77,.17,.60,.60,.17,.43,.16,.68,.17,.52,.87
degrade,2.62,4.95,3.3,5.42,7,.67,1.54,2.60,2.20,.77,.37,.40,.70,.23,.47,2.38,.73,.30,.43,11.78
degree,5.63,4.10,4.9,4.88,6,14.88,2.88,2.40,1.80,.73,.37,.37,.73,.23,.50,.63,.73,.30,.43,2.58
delay,3.45,3.00,3.0,4.70,5,11.02,2.75,1.85,1.80,.67,.30,.37,.73,.30,.43,1.55,.70,.30,.40,4.65
delete,4.00,3.71,5.1,4.36,6,1.76,1.96,1.95,1.80,.63,.17,.47,.57,.13,.43,1.00,.60,.15,.45,3.71
delight,8.21,5.02,4.1,4.42,7,5.65,2.46,2.25,1.95,.63,.20,.43,.67,.23,.43,3.21,.65,.22,.43,16.11
deluxe,6.76,4.96,3.7,4.85,6,1.92,2.00,2.25,2.85,.77,.10,.67,.57,.03,.53,1.76,.67,.07,.60,8.73
demand,4.10,5.85,3.4,4.67,6,17.12,2.94,2.10,1.90,.67,.30,.37,.67,.37,.30,.90,.67,.33,.33,5.27
demise,3.00,4.18,3.4,5.79,6,1.71,1.94,1.95,1.90,.77,.37,.40,.77,.37,.40,2.00,.77,.37,.40,8.36
demon,3.00,5.34,6.3,4.36,5,31.24,3.20,1.85,1.70,.83,.10,.73,.87,.17,.70,2.00,.85,.13,.72,10.68
denim,6.00,3.67,6.2,4.52,5,.65,1.53,2.05,1.95,.80,.07,.73,.83,.20,.63,1.00,.82,.13,.68,3.67
denounce,4.24,4.08,2.9,5.91,8,.86,1.65,2.65,2.55,.83,.20,.63,.77,.33,.43,.76,.80,.27,.53,3.10
dental,4.73,4.79,6.2,4.27,6,6.18,2.50,1.85,1.75,.87,.17,.70,.80,.33,.47,.27,.83,.25,.58,1.29
dentist,3.84,4.37,6.7,3.39,7,11.20,2.76,2.50,2.65,.80,.20,.60,.67,.27,.40,1.16,.73,.23,.50,5.07
depart,4.05,3.90,3.7,4.82,6,2.14,2.04,1.95,2.20,.63,.27,.37,.63,.27,.37,.95,.63,.27,.37,3.71
depict,4.74,3.88,2.4,5.73,6,.53,1.45,2.20,2.30,.50,.23,.27,.60,.23,.37,.26,.55,.23,.32,1.01
deploy,4.25,4.96,4.4,5.79,6,2.65,2.13,2.40,2.45,.63,.23,.40,.90,.10,.80,.75,.77,.17,.60,3.72
deport,3.14,3.84,3.6,5.79,6,.78,1.61,1.85,1.90,.60,.20,.40,.83,.37,.47,1.86,.72,.28,.43,7.14
depot,5.18,3.19,4.1,5.48,5,2.94,2.18,1.80,1.85,.93,.13,.80,.80,.20,.60,.18,.87,.17,.70,.57
depress,2.47,3.14,3.9,5.45,7,.71,1.57,2.05,1.95,.77,.17,.60,.67,.30,.37,2.53,.72,.23,.48,7.94
deprive,3.37,3.72,2.9,5.45,7,1.31,1.83,2.20,2.25,.77,.40,.37,.77,.43,.33,1.63,.77,.42,.35,6.06
derby,,,4.4,5.30,5,2.20,2.05,2.00,1.95,.80,.20,.60,.73,.13,.60,,.77,.17,.60,
derive,4.72,2.90,2.7,5.97,6,.69,1.56,1.75,1.75,.83,.20,.63,.57,.27,.30,.28,.70,.23,.47,.81
descend,4.67,3.17,4.0,5.33,7,1.92,2.00,2.45,1.65,.80,.43,.37,.77,.57,.20,.33,.78,.50,.28,1.05
descent,5.30,3.90,3.3,5.24,7,2.59,2.12,2.15,1.85,.90,.53,.37,.87,.57,.30,.30,.88,.55,.33,1.17
describe,5.90,2.95,2.6,4.45,8,16.98,2.94,2.60,2.40,.60,.27,.33,.57,.27,.30,.90,.58,.27,.32,2.66
desert,5.36,3.50,6.4,3.73,6,27.98,3.15,1.90,2.65,.83,.27,.57,.77,.30,.47,.36,.80,.28,.52,1.26
deserve,6.77,4.50,3.1,4.52,7,43.73,3.35,2.15,2.10,.57,.20,.37,.59,.24,.34,1.77,.58,.22,.36,7.97
design,6.80,3.95,4.5,4.58,6,16.20,2.92,2.15,1.70,.73,.20,.53,.60,.37,.23,1.80,.67,.28,.38,7.11
desire,7.05,6.20,3.3,5.06,6,20.27,3.01,1.90,1.85,.73,.43,.30,.70,.33,.37,2.05,.72,.38,.33,12.71
desist,4.27,3.84,2.7,5.82,6,.96,1.70,1.95,1.90,.67,.17,.50,.63,.10,.53,.73,.65,.13,.52,2.80
despair,3.61,4.64,3.8,5.27,7,5.86,2.48,2.90,2.35,.63,.47,.17,.47,.43,.03,1.39,.55,.45,.10,6.45
despise,3.08,4.77,3.6,5.48,7,4.51,2.36,2.25,1.85,.83,.43,.40,.53,.27,.27,1.92,.68,.35,.33,9.16
despite,,,2.4,5.09,7,13.00,2.82,2.35,2.20,.77,.30,.47,.70,.30,.40,,.73,.30,.43,
dessert,7.20,5.50,6.8,3.45,7,14.02,2.85,2.30,2.10,.87,.10,.77,.83,.27,.57,2.20,.85,.18,.67,12.10
destroy,2.67,5.16,5.3,4.27,7,47.18,3.38,2.85,2.60,.77,.13,.63,.63,.30,.33,2.33,.70,.22,.48,12.02
destruct,3.50,6.09,4.5,5.21,8,.61,1.51,2.65,2.15,.67,.27,.40,.73,.20,.53,1.50,.70,.23,.47,9.14
detach,4.50,3.19,3.4,5.24,6,.67,1.54,2.00,2.70,.70,.17,.53,.60,.17,.43,.50,.65,.17,.48,1.60
detail,5.67,3.81,2.9,4.64,6,19.39,3.00,1.85,1.85,.63,.20,.43,.63,.47,.17,.67,.63,.33,.30,2.55
detain,3.00,4.25,3.3,5.55,6,1.82,1.97,1.90,1.85,.73,.27,.47,.57,.27,.30,2.00,.65,.27,.38,8.50
detect,5.09,4.57,3.1,4.82,6,5.12,2.42,1.85,1.95,.67,.33,.33,.60,.43,.17,.09,.63,.38,.25,.41
detest,3.05,5.09,2.6,5.76,6,1.43,1.87,1.95,2.05,.73,.23,.50,.70,.23,.47,1.95,.72,.23,.48,9.93
detour,3.86,4.58,4.6,5.21,6,2.10,2.03,2.40,2.60,.83,.30,.53,.57,.20,.37,1.14,.70,.25,.45,5.22
detox,,,4.2,6.09,,,,,,.90,.10,.80,.83,.13,.70,,.87,.12,.75,
device,5.79,3.42,4.7,5.00,6,18.16,2.97,1.90,1.85,.73,.37,.37,.70,.33,.37,.79,.72,.35,.37,2.70
devil,3.11,5.40,6.4,3.64,5,41.33,3.32,1.90,1.80,.77,.07,.70,.57,.17,.40,1.89,.67,.12,.55,10.21
devise,4.45,4.48,3.5,5.58,6,.63,1.52,1.75,1.55,.77,.50,.27,.73,.30,.43,.55,.75,.40,.35,2.46
devoid,3.61,3.22,1.9,6.00,6,.71,1.57,2.55,2.10,.77,.10,.67,.73,.20,.53,1.39,.75,.15,.60,4.48
devote,5.53,4.05,2.6,5.42,6,1.96,2.00,1.80,1.90,.63,.37,.27,.67,.27,.40,.53,.65,.32,.33,2.15
devour,5.21,6.06,4.5,5.27,6,1.06,1.74,2.40,2.30,.63,.23,.40,.87,.33,.53,.21,.75,.28,.47,1.27
devout,4.48,4.13,3.1,5.42,6,.75,1.59,2.40,2.20,.77,.23,.53,.77,.30,.47,.52,.77,.27,.50,2.15
diaper,3.71,3.41,6.7,2.82,6,4.27,2.34,1.85,1.55,.73,.13,.60,.70,.10,.60,1.29,.72,.12,.60,4.40
dictate,4.40,3.24,3.2,5.85,7,1.75,1.95,2.60,2.20,.77,.20,.57,.80,.10,.70,.60,.78,.15,.63,1.94
diesel,4.32,3.78,5.9,5.12,6,2.65,2.13,2.80,1.90,.73,.07,.67,.83,.10,.73,.68,.78,.08,.70,2.57
diet,4.42,3.83,5.4,4.76,4,15.37,2.89,1.70,1.85,.87,.13,.73,.47,.20,.27,.58,.67,.17,.50,2.22
differ,5.10,3.26,3.2,4.88,6,2.43,2.10,1.95,1.60,.70,.27,.43,.67,.07,.60,.10,.68,.17,.52,.33
diffuse,5.04,3.86,3.5,5.94,7,.98,1.71,2.45,2.30,.87,.37,.50,.77,.37,.40,.04,.82,.37,.45,.15
digest,4.74,2.90,5.0,4.79,6,3.29,2.23,1.95,2.75,.87,.23,.63,.63,.23,.40,.26,.75,.23,.52,.75
digit,4.84,3.05,5.8,4.30,5,.59,1.49,2.00,2.45,.77,.07,.70,.83,.17,.67,.16,.80,.12,.68,.49
dildo,4.57,5.09,6.0,6.15,,,,,,.90,.07,.83,.93,.03,.90,.43,.92,.05,.87,2.19
diner,6.75,4.04,6.3,3.85,5,12.39,2.80,1.60,1.60,.70,.17,.53,.80,.23,.57,1.75,.75,.20,.55,7.07
dinghy,4.82,4.17,3.1,6.09,6,.71,1.57,2.65,1.90,.87,.07,.80,.77,.10,.67,.18,.82,.08,.73,.75
dinky,4.10,3.67,4.0,4.61,5,1.02,1.72,1.85,1.75,.93,.20,.73,.67,.03,.63,.90,.80,.12,.68,3.30
dinner,6.40,3.85,6.4,3.00,6,202.67,4.01,1.75,1.40,.57,.20,.37,.70,.20,.50,1.40,.63,.20,.43,5.39
direct,5.75,4.29,3.2,4.88,6,24.04,3.09,2.00,2.00,.70,.43,.27,.47,.40,.07,.75,.58,.42,.17,3.22
dirty,3.17,5.05,6.1,3.45,5,66.45,3.53,1.90,1.80,.60,.07,.53,.60,.10,.50,1.83,.60,.08,.52,9.24
discard,4.00,3.71,4.2,5.18,7,1.08,1.75,2.60,2.60,.73,.17,.57,.63,.20,.43,1.00,.68,.18,.50,3.71
disclose,4.00,4.45,2.6,5.52,8,1.73,1.95,2.70,2.45,.60,.13,.47,.50,.27,.23,1.00,.55,.20,.35,4.45
disco,5.76,5.25,6.4,4.73,5,5.76,2.47,2.25,1.80,.77,.07,.70,.67,.07,.60,.76,.72,.07,.65,3.99
discord,3.58,5.43,2.1,5.70,7,1.02,1.72,2.70,2.60,.70,.10,.60,.47,.23,.23,1.42,.58,.17,.42,7.71
discount,5.78,4.62,3.4,4.91,8,4.76,2.39,2.50,2.65,.73,.13,.60,.50,.27,.23,.78,.62,.20,.42,3.60
discreet,5.05,3.40,2.9,5.52,8,4.06,2.32,2.85,2.55,.87,.27,.60,.73,.30,.43,.05,.80,.28,.52,.17
discuss,5.89,2.76,3.2,4.33,7,45.67,3.37,2.60,1.90,.77,.47,.30,.70,.37,.33,.89,.73,.42,.32,2.46
disdain,3.71,3.21,2.5,6.21,7,.53,1.45,2.90,2.50,.80,.13,.67,.60,.07,.53,1.29,.70,.10,.60,4.14
disease,1.68,5.50,5.2,4.39,7,26.18,3.13,2.40,1.80,.77,.17,.60,.47,.10,.37,3.32,.62,.13,.48,18.26
disgrace,2.45,4.28,2.8,5.03,8,8.02,2.61,2.80,2.75,.73,.17,.57,.57,.20,.37,2.55,.65,.18,.47,10.91
disgust,3.32,5.00,4.1,5.03,7,2.76,2.15,2.60,2.45,.73,.27,.47,.67,.23,.43,1.68,.70,.25,.45,8.40
dismal,2.60,3.29,3.0,5.70,6,.94,1.69,2.40,2.40,.70,.10,.60,.73,.27,.47,2.40,.72,.18,.53,7.90
dismiss,4.58,3.70,3.7,4.67,7,5.47,2.45,2.80,1.95,.90,.43,.47,.63,.43,.20,.42,.77,.43,.33,1.55
dispatch,4.90,3.55,3.0,5.73,8,6.86,2.55,3.15,2.60,.90,.27,.63,.73,.33,.40,.10,.82,.30,.52,.35
dispense,5.24,2.95,4.1,5.39,8,1.35,1.85,2.40,2.00,.67,.27,.40,.60,.43,.17,.24,.63,.35,.28,.71
disperse,4.19,3.67,3.5,5.79,8,1.78,1.96,2.40,2.55,.73,.40,.33,.63,.37,.27,.81,.68,.38,.30,2.97
display,6.19,3.81,4.4,5.00,7,8.53,2.64,2.65,1.95,.73,.20,.53,.60,.23,.37,1.19,.67,.22,.45,4.53
dispose,4.00,5.53,4.0,5.18,7,3.14,2.21,2.20,2.00,.80,.50,.30,.63,.43,.20,1.00,.72,.47,.25,5.53
dispute,2.52,4.55,3.6,5.48,7,3.14,2.21,2.50,2.60,.77,.50,.27,.63,.43,.20,2.48,.70,.47,.23,11.28
disrupt,3.48,4.87,3.7,5.03,7,1.27,1.82,2.75,2.50,.80,.33,.47,.67,.30,.37,1.52,.73,.32,.42,7.40
dissect,3.95,5.43,5.0,5.55,7,.98,1.71,2.60,2.60,.67,.30,.37,.63,.23,.40,1.05,.65,.27,.38,5.70
dissent,4.80,4.00,2.8,5.94,7,.59,1.49,2.40,1.85,.87,.27,.60,.73,.40,.33,.20,.80,.33,.47,.80
